n,direccion,status,http_code,elapsed_s,error
101,DOCTOR RAMON CARRILLO 616,OK,200.0,5.315560817718506,
102,ECHEANDIA 5527,OK,200.0,5.623395919799805,
103,CARICANCHA 1224,OK,200.0,5.819601535797119,
104,MOM 3150,OK,200.0,4.892935276031494,
105,MURATURE 4651,OK,200.0,7.134445667266846,
106,CONCORDIA 2986,OK,200.0,4.364353179931641,
107,JARAMILLO 3637,OK,200.0,4.587863922119141,
108,AV. RIVADAVIA 9553,OK,200.0,5.956398010253906,
109,PATRON 7475,OK,200.0,5.299668073654175,
110,BALBASTRO 5755,OK,200.0,6.459731101989746,
111,COCHICO 814,OK,200.0,4.735557556152344,
112,DESAGUADERO 3282,OK,200.0,5.1240434646606445,
113,PEREYRA 1640,OK,200.0,7.971020460128784,
114,ZAPIOLA 4756,OK,200.0,4.845928192138672,
115,TERRADA 2915,OK,200.0,4.82490086555481,
116,CARHUE 2770,OK,200.0,4.449245452880859,
117,EL CRIOLLO 1325,OK,200.0,5.096017122268677,
118,MANUEL ARTIGAS 5938,OK,200.0,5.832329988479614,
119,LISANDRO DE LA TORRE 3687,OK,200.0,6.297095775604248,
120,GUALEGUAYCHU 1565,OK,200.0,6.634078741073608,
121,ESPINOSA 3186,OK,200.0,4.469808578491211,
122,AV. SANTA FE 2402,OK,200.0,7.786750793457031,
123,ZAMUDIO 4136,OK,200.0,4.677795886993408,
124,HUMBOLDT 1626,OK,200.0,6.338672399520874,
125,EL SALVADOR 3833,OK,200.0,5.059565305709839,
126,CALIFORNIA 1542,OK,200.0,4.270307540893555,
127,CAÑADA DE GOMEZ 991,OK,200.0,5.6684911251068115,
128,ESNAOLA 658,OK,200.0,6.172666788101196,
129,DELGADO 1001,OK,200.0,4.472578048706055,
130,ALEJANDRO MAGARIÑOS CERVANTES 2572,ERROR,404.0,0.3255743980407715,HTTP 404
131,URUGUAY 813,OK,200.0,12.241208791732788,
132,CIUDAD DE LA PAZ 1866,OK,200.0,5.225026845932007,
