n,direccion,status,http_code,elapsed_s,error
111,COCHICO 814,OK,200,6.403268098831177,
112,DESAGUADERO 3282,OK,200,5.434908390045166,
113,PEREYRA 1640,OK,200,6.683335781097412,
114,ZAPIOLA 4756,OK,200,7.1360132694244385,
115,TERRADA 2915,OK,200,6.921188592910767,
116,CARHUE 2770,OK,200,5.497554302215576,
117,EL CRIOLLO 1325,OK,200,5.458495140075684,
118,MANUEL ARTIGAS 5938,OK,200,5.451827764511108,
119,LISANDRO DE LA TORRE 3687,OK,200,7.18379545211792,
120,GUALEGUAYCHU 1565,OK,200,5.782127141952515,
121,ESPINOSA 3186,OK,200,4.703703165054321,
122,AV. SANTA FE 2402,OK,200,8.201013803482056,
123,ZAMUDIO 4136,OK,200,6.406301736831665,
124,HUMBOLDT 1626,OK,200,5.054877519607544,
125,EL SALVADOR 3833,OK,200,5.578492879867554,
126,CALIFORNIA 1542,OK,200,5.585842609405518,
127,CAÑADA DE GOMEZ 991,OK,200,6.820573329925537,
128,ESNAOLA 658,OK,200,7.981218576431274,
129,DELGADO 1001,OK,200,14.11203384399414,
130,ALEJANDRO MAGARIÑOS CERVANTES 2572,ERROR,404,2.096586227416992,HTTP 404
131,URUGUAY 813,OK,200,25.781978130340576,
132,CIUDAD DE LA PAZ 1866,OK,200,23.967391967773438,
133,ARIAS 3441,OK,200,11.868230819702148,
134,PAUL GROUSSAC 5618,OK,200,16.746514797210693,
135,DONADO 2226,OK,200,6.185571193695068,
136,YERBAL 5729,OK,200,7.194644927978516,
137,CARHUE 2265,OK,200,5.442090034484863,
138,CATULO CASTILLO 2669,OK,200,6.325308561325073,
139,RAFAEL HERNANDEZ 2501,OK,200,5.939149618148804,
140,DONADO 3908,OK,200,7.338865041732788,
141,SOMELLERA 1052,OK,200,5.721316576004028,
142,VICTOR HUGO 2574,OK,200,5.628001928329468,
143,CORTINA 2546,OK,200,5.120491981506348,
144,RAULIES 1929,OK,200,5.675449371337891,
145,COSTA RICA 4646,OK,200,5.457659482955933,
146,CALLE SIN NOMBRE OFICIAL 2580,ERROR,404,0.7009992599487305,HTTP 404
147,ECHEANDIA 3864,OK,200,5.5990142822265625,
148,PAUL GROUSSAC 5513,OK,200,5.918761968612671,
149,BAZURCO 2389,OK,200,5.950122594833374,
150,HELGUERA 5630,OK,200,7.882714033126831,
151,BACACAY 5061,OK,200,6.343483209609985,
152,CONDE 3117,OK,200,9.756117343902588,
153,SANTANDER 2014,OK,200,9.157105684280396,
154,CAROLINA MUZILLI 5985,OK,200,5.099492073059082,
155,AGRELO 3820,OK,200,6.7852537631988525,
156,CORONEL ESTEBAN BONORINO 3588,OK,200,5.250950813293457,
157,GABRIELA MISTRAL 3948,OK,200,5.594379901885986,
158,CAMPANA 3231,OK,200,6.088927984237671,
159,AV. ACOYTE 794,OK,200,6.107715606689453,
160,TRES ARROYOS 2376,OK,200,5.902713775634766,
161,DONIZETTI 350,OK,200,8.294788122177124,
162,JUAN CARLOS GOMEZ 182,OK,200,5.087134838104248,
163,LOS EUCALIPTOS 6784,OK,200,7.135497570037842,
164,JACARANDA 1428,OK,200,5.174270153045654,
